"Country","CHES.party.id","ParlGov.party.id","Recommended.CHES.party.id","Disagreement","Verified","Abnormalities","CHES.Party.Abbrev","Parlgov.Party.Abbrev","CHES.Party.Name","Parlgov.Party.Name","CHES.Party.Name.English","Parlgov.Party.Name.English"
"France",619,259,619,FALSE,NA,NA,"CPNT","CPNT","Chasse, Pêche, Nature, Traditions","Chasse, pêche, nature, traditions","Hunting, Fishing, Nature, Tradition Party","Hunting, Fishing, Nature, Tradition"
"France",620,1263,620,FALSE,NA,NA,"MN","MNR","Mouvement National Républicain","Mouvement national républicain","National Republican Movement","National Republican Movement"
"France",621,NA,NA,FALSE,NA,NA,"NC",NA,"Nouveau Centre",NA,"New Center",NA
"France",622,NA,603,TRUE,TRUE,TRUE,"PRV",NA,"Parti radical",NA,"Radical Party",NA
"France",623,2078,NA,FALSE,NA,NA,"AC","AC","Alliance centriste","Alliance centriste","Centrist Alliance","Centrist Alliance"
"France",624,NA,NA,FALSE,NA,NA,"PG",NA,"Parti de Gauche",NA,"Left Party",NA
"France",625,NA,NA,FALSE,NA,NA,"Ens",NA,"Ensemble",NA,"Together",NA
"Ireland",701,280,701,FALSE,TRUE,NA,"FF","FF","Fianna Fail","Fianna Fáil","Soldiers of Destiny","Fianna Fail (Soldiers of Destiny)"
"Ireland",702,1393,702,FALSE,TRUE,NA,"FG","FG","Fine Gael","Fine Gael","Family of the Irish","Fine Gael (Familiy of the Irish)"
"Ireland",703,318,703,FALSE,TRUE,NA,"Lab","Lab","Labour","Labour Party","Labour","Labour Party"
"Ireland",705,1573,705,FALSE,TRUE,NA,"GP","Green","Green Party","Green Party  – Comhaontas Glas","Green Party","Green Party"
"Ireland",706,651,706,FALSE,TRUE,NA,"PD","PD","Progressive Democrats","Progressive Democrats","Progressive Democrats","Progressive Democrats"
"Ireland",707,433,NA,FALSE,TRUE,NA,"SF","SFWP","Sinn Fein","Sinn Féin The Workers' Party","We Ourselves","Sinn Fein The Workers' Party"
"Ireland",708,1014,708,FALSE,TRUE,NA,"SP","SP","Socialist Party","Socialist Party","Socialist Party","Socialist Party"
"Ireland",709,1804,NA,FALSE,TRUE,NA,"PBPA","PBPA","People Before Profit Alliance","People Before Profit Alliance","People Before Profit Alliance","People Before Profit Alliance"
"Italy",802,809,802,FALSE,TRUE,NA,"PDS; DS","DS","Partito Democratico della Sinistra; Democratici di Sinistra","Democratici di Sinistra","Democratic Party of the Left; Democrats of the Left","Democrats of the Left"
"Italy",803,1321,803,FALSE,TRUE,NA,"RC","PRC","Rifondazione Comunista","Partito della Rifondazione Comunista","Communist Refoundation Party","Communist Refoundation Party"
"Italy",805,373,805,FALSE,TRUE,NA,"AN","AN","Alleanza Nazionale","Alleanza Nazionale","National Alliance","National Alliance"
"Italy",806,93,806,FALSE,TRUE,NA,"PRI","PRI","Partito Repubblicano Italiano","Partito Repubblicano Italiano","Italian Republican Party","Republican Party"
"Italy",807,1278,NA,FALSE,TRUE,NA,"PSDI; SDI","SDI","Partito Socialista Democratico Italiano;Socialisti Democratici Italiani","Socialisti Democratici Italiani","Italian Democratic Socialist Party;Italian Democratic Socialists","Italian Democrat Socialists"
"Italy",808,910,808,FALSE,TRUE,NA,"Verdi","FdV","Federazione dei Verdi","Federazione dei Verdi","Federation of Greens","Federation of the Greens"
"Italy",811,1436,811,FALSE,TRUE,NA,"LN","LN","Lega Nord","Lega Nord","Northern League","North League"
"Italy",813,1296,813,FALSE,NA,NA,"RAD","R","Radicali Italiani","Radicali","Italian Radicals","Radicals"
"Italy",814,99,814,FALSE,FALSE,NA,"CCD; UDC","CCD","Centro Cristiano Democratico; Unione dei Democratici Cristiani e die Democratici di Centro","Centro Cristiano Democratico","Christian Democratic Center;Union of Christian and Center Democrats","Christian Democratic Centre"
"Italy",814,627,814,FALSE,TRUE,NA,"CCD; UDC","CCD+CDU","Centro Cristiano Democratico; Unione dei Democratici Cristiani e die Democratici di Centro","Centro Cristiano Democratico  / Cristiani Democratici Uniti","Christian Democratic Center;Union of Christian and Center Democrats","Christian Democratic Centre / United Christian Democrats"
"Italy",815,596,815,FALSE,TRUE,NA,"FI","FI-PdL","Forza Italia","Forza Italia – Il Popolo della Libertà","Forward Italy","Go Italy -- The People of Freedom"
"Italy",817,896,817,FALSE,NA,NA,"CU/UD","AD","Unione Democratica","Alleanza Democratica","Democratic Union","Democratic Alliance"
"Italy",818,128,818,FALSE,FALSE,NA,"CDU","CDU","Cristiani Democratici Uniti","Cristiani Democratici Uniti","United Christian Democrats","United Christian Democrats"
"Italy",818,226,818,FALSE,FALSE,NA,"CDU","UC","Cristiani Democratici Uniti","Unione / Centro","United Christian Democrats","Union / Centre"
"Italy",819,961,819,FALSE,TRUE,NA,"DEM; DL","ID","I Democratici; Democrazia è Libertà-La Margherita","I Democratici","The Democrats; Democracy is Freedom—The Daisy","Democracy"
"Italy",819,1005,819,FALSE,TRUE,NA,"DEM; DL","DL-M","I Democratici; Democrazia è Libertà-La Margherita","Democrazia è Libertà – La Margherita","The Democrats; Democracy is Freedom—The Daisy","Democracy is Freedom -- The Daisy"
"Italy",820,NA,NA,FALSE,NA,NA,"LB",NA,"Lista Bonino",NA,"Bonino List",NA
"Italy",821,176,821,FALSE,NA,NA,"MS","MSFT","Movimento Sociale Fiamma Tricolore","Fiamma Tricolore","Tricolor Flame Social Movement","Fiamma Tricolore"
"Italy",822,968,822,FALSE,NA,NA,"PdUP","PdUP","Partito di UnitÃă Proletaria","Partito di Unità Proletaria","Party of Proletarian Unity for Communism","Proletarian Unity Party"
"Italy",823,142,823,FALSE,NA,NA,"PPI","PPI","Partito Popolare Italiano","Partito Popolare Italiano","Italian Popular Party","Italian People's Party"
"Italy",824,335,824,FALSE,NA,NA,"PsDA","PSA","Partito Sardo d’Azione","Partito Sardo d'Azione","Sardinian Action Party","Sardinian Action Party"
"Italy",825,630,825,FALSE,TRUE,NA,"RI","RiI","Rinnovamento Italiano","Rinnovamento Italiano","Italian Renewal-Dini List","Italian Renewal"
"Italy",826,827,826,FALSE,NA,NA,"SEG","PS","Patto Segni","Patto Segni","Segni Pact","Segni Pact"
"Italy",827,1030,827,FALSE,TRUE,NA,"SVP","SVP","Südtiroler Volkspartei","Südtiroler Volkspartei","South Tyrolean People’s Party","South Tyrol Peoples Party"
"Italy",828,693,828,FALSE,TRUE,NA,"IdV","IdV","Di Pietro-Italia dei Valori","Italia dei Valori","Italy of Values","Italy of Values"
"Italy",829,399,829,FALSE,TRUE,NA,"UDEUR","UDEUR","Popolari-UDEUR","Unione Democratici per l'Europa","Popular-UDEUR","Union of Democrats for Europe"
"Italy",830,502,830,FALSE,NA,NA,"PP","PP","Partito dei Pensionati","Partito Pensionati","Pensioners’ Party","Pensioners' Party"
"Italy",832,760,832,FALSE,NA,NA,"MRE","MRE","Movimento Repubblicani Europei","Movimento Repubblicani Europei","European Republican Movement","European Republicans Movement"
"Italy",835,1287,835,FALSE,TRUE,NA,"NPSI","NPSI","Nuovo Partito Socialista Italiano","Nuovo Partito Socialisti Italiani","New Italian Socialist Party","New PSI"
"Italy",836,1661,836,FALSE,TRUE,NA,"PdCI","PdCI","Partito dei Comunisti Italiani","Partito dei Comunisti Italiani","Party of Italian Communists","Party of the Italian Communists"
"Italy",837,382,837,FALSE,TRUE,NA,"PD","PD","Partido Democratico","Partito Democratico","Democratic Party","Democratic Party"
"Italy",838,465,838,FALSE,NA,NA,"SL","SL","Sinistra e Liberta","Sinistra (Ecologia) Libertà","Left and Freedom","Left (Ecology) Freedom"
"Italy",839,1475,839,FALSE,NA,NA,"PSI","PSI","Partito Socialista Italiano","Partito Socialista Italiano","Italian Socialist Party","Italian Socialist Party"
"Italy",840,1040,840,FALSE,TRUE,NA,"MpA","MpA","Movimento per le Autonomie","Movimento per l'Autonomia","Movement for Autonomies","Movement for Autonomy"
"Italy",841,1088,841,FALSE,TRUE,NA,"PCI","PCI","Partito dei Comunisti Italian","Partito Comunista Italiano","Italian Communist Party","Communist Party"
"Italy",843,2153,NA,FALSE,NA,NA,"CD",NA,"Centro Democratico—Diritti e Libertá",NA,"Democratic Centre",NA
"Italy",844,NA,NA,FALSE,NA,NA,"FDL",NA,"Fratelli d’Italia",NA,"Brothers of Italy",NA
"Italy",845,2155,NA,FALSE,NA,NA,"M5S",NA,"MoVimento Cinque Stelle",NA,"Five Star Movement",NA
"Italy",846,2156,NA,FALSE,NA,NA,"SC",NA,"Scelta Civica",NA,"Civic Choice",NA
"Italy",847,NA,NA,FALSE,NA,NA,"VdA",NA,"Vallée d’Aoste",NA,"Aosta Valley",NA
"Italy",848,2268,NA,FALSE,NA,NA,"NCD",NA,"Nuovo Centrodestra",NA,"New Centre-Right",NA
"Netherlands",1001,235,1001,FALSE,TRUE,NA,"CDA","CDA","Christen-Democratisch Appel","Christen Democratisch Appèl","Christian Democratic Appeal","Christian Democratic Appeal"
"Netherlands",1002,742,1002,FALSE,TRUE,NA,"PvdA","PvdA","Partij van de Arbeid","Partij van de Arbeid","Labour Party","Labour Party"
